question,answer,prompt,gpt_4o
"Men are twice as likely to marry as women, according to Dr. Wertz. If there are 60 women and 5 children per teacher, how many children are there?",36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMen are twice as likely to marry as women, according to Dr. Wertz. If there are 60 women and 5 children per teacher, how many children are there?\n'}]",300
Bailey received a monthly donation of $8 for the first 8 weeks. Now she needs to earn $100 for the next 8 weeks. And how much money did Bailey get for her donation?,60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBailey received a monthly donation of $8 for the first 8 weeks. Now she needs to earn $100 for the next 8 weeks. And how much money did Bailey get for her donation?\n'}]",64
"During the week, Judy teaches five times a week. On Sundays, she teaches eight times a week. If she teaches 15 students for $15.00 each, how much money does she make per week?",7425,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nDuring the week, Judy teaches five times a week. On Sundays, she teaches eight times a week. If she teaches 15 students for $15.00 each, how much money does she make per week?\n'}]",1575
"Celian cooks two recipes based on two cooking methods. One of them has 20 recipes, the other one is twice as long as the first. How many recipes does Celian have to learn to cook two recipes?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCelian cooks two recipes based on two cooking methods. One of them has 20 recipes, the other one is twice as long as the first. How many recipes does Celian have to learn to cook two recipes?\n'}]",40
"Tommy collects money for a charity that sells brownies for $3 each and cheese cakes for $4. Since Tommy sells 43 brownies and 23 cheese cakes, how much money does Tommy make?",221,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTommy collects money for a charity that sells brownies for $3 each and cheese cakes for $4. Since Tommy sells 43 brownies and 23 cheese cakes, how much money does Tommy make?\n'}]",221
"Shiela bought two sets of equipment so that she could call a replacement that would cost her $150 a month for three months. Even if we had a 2% increase, how much money would Shiela have to pay each month for 3 months?",255,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nShiela bought two sets of equipment so that she could call a replacement that would cost her $150 a month for three months. Even if we had a 2% increase, how much money would Shiela have to pay each month for 3 months?\n'}]",153
"Artie sells three different types of soup: soups, petunias, and begonias. He sells soups for $2.74 a jar, petunias for $1.87 a jar, and begonias for $2.12 a jar. His taste is impeccable, and Artie is close to the market. He sells 12 pots of soup, 9 pots of petunias, and 17 pots of begonias.",88,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nArtie sells three different types of soup: soups, petunias, and begonias. He sells soups for $2.74 a jar, petunias for $1.87 a jar, and begonias for $2.12 a jar. His taste is impeccable, and Artie is close to the market. He sells 12 pots of soup, 9 pots of petunias, and 17 pots of begonias.\n'}]",84
"Luc Daffy builds high-rise buildings with sand from the sea. He calculates that the area of the roof of the house is half the area of the ground. If you add all the areas, what would be their width if you knew the width of the highest wall of 16 feet of wet concrete?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLuc Daffy builds high-rise buildings with sand from the sea. He calculates that the area of the roof of the house is half the area of the ground. If you add all the areas, what would be their width if you knew the width of the highest wall of 16 feet of wet concrete?\n'}]",32
"Cecilia always buys a puppy. According to the veterinarian's recommendation, she must feed the puppy one bowl of food every 180 days. If she does, she must feed him 2 bowls of food every day for the rest of his life. Considering that her diet consists of 110 bowls, how many bowls of food does Cecilia feed the puppy each year?",5,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nCecilia always buys a puppy. According to the veterinarian's recommendation, she must feed the puppy one bowl of food every 180 days. If she does, she must feed him 2 bowls of food every day for the rest of his life. Considering that her diet consists of 110 bowls, how many bowls of food does Cecilia feed the puppy each year?\n""}]",730
"Raymond's salary is twice as low as Sarah's, and Sarah's salary is three times that of David's. Knowing that Sarah earns 400 pounds, how much more do David and Raymond earn?",100,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nRaymond's salary is twice as low as Sarah's, and Sarah's salary is three times that of David's. Knowing that Sarah earns 400 pounds, how much more do David and Raymond earn?\n""}]",0
Vincent had the option of buying 3 bottles of flowers for $2.50 or a bottle of 2 for $1. How much money could he have saved if he had bought 18 bottles that sold more easily?,6,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nVincent had the option of buying 3 bottles of flowers for $2.50 or a bottle of 2 for $1. How much money could he have saved if he had bought 18 bottles that sold more easily?\n'}]",1
Jean bought a dog and went to the grocery store to buy it for $100. The grocery store gave her a 30% discount because she was a new customer. When did the dog's food arrive?,70,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJean bought a dog and went to the grocery store to buy it for $100. The grocery store gave her a 30% discount because she was a new customer. When did the dog's food arrive?\n""}]",70
Two women each get 1/6 of 24 liters of water. Then one man gets 6 liters of water. How many liters of water is that?,10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTwo women each get 1/6 of 24 liters of water. Then one man gets 6 liters of water. How many liters of water is that?\n'}]",10
"Charlie has 10 tapes. He bought another 21 that the family collected and used 23 of them to celebrate his birthday. Now, he gives his sister 9 and uses 28 of them to save the tapes that we write prayers and dedicate to our loved ones. How many tapes are left?",17,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCharlie has 10 tapes. He bought another 21 that the family collected and used 23 of them to celebrate his birthday. Now, he gives his sister 9 and uses 28 of them to save the tapes that we write prayers and dedicate to our loved ones. How many tapes are left?\n'}]",-29
Grace weighs 25 pounds. Alex weighs less than twice as much as Grace weighs four times. How many pounds is the sum of your two weights?,623,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGrace weighs 25 pounds. Alex weighs less than twice as much as Grace weighs four times. How many pounds is the sum of your two weights?\n'}]",125
"We planted 3 rose bushes. One plant produced 25 roses and the rose had 8 flowers. All in all, how many flowers did you get?",600,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nWe planted 3 rose bushes. One plant produced 25 roses and the rose had 8 flowers. All in all, how many flowers did you get?\n'}]",200
a professional footballer has played 22 matches. he has won the championship 8 times. how many times has he won?,15,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \na professional footballer has played 22 matches. he has won the championship 8 times. how many times has he won?\n'}]",8
Gene wears an old-fashioned shirt. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed.,44,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGene wears an old-fashioned shirt. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed.\n'}]",7
"Greg adjusted his time machine so that it would rotate 3 times a day. When the machine started to rotate, it would rotate until Greg would say no. He didn't register a rotation, so it rotated three times. The second time it rotated three times. The third time it rotated twice as fast as the second time. How many times did the whole thing rotate?",22,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nGreg adjusted his time machine so that it would rotate 3 times a day. When the machine started to rotate, it would rotate until Greg would say no. He didn't register a rotation, so it rotated three times. The second time it rotated three times. The third time it rotated twice as fast as the second time. How many times did the whole thing rotate?\n""}]",15
A law firm pays its employees $600 a month. Dafy wants to increase the company's interest rate to 10% of her salary. Sylvie is celebrating her fifth anniversary with the firm last December. How much is a year's salary after three years?,9360,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nA law firm pays its employees $600 a month. Dafy wants to increase the company's interest rate to 10% of her salary. Sylvie is celebrating her fifth anniversary with the firm last December. How much is a year's salary after three years?\n""}]",7200
"Marilyn's company's turnover was more than ten times that of Harald's company. Although they sold 88,000 units of the company's products together, how many units of the company's products did Harald sell?",8000,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nMarilyn's company's turnover was more than ten times that of Harald's company. Although they sold 88,000 units of the company's products together, how many units of the company's products did Harald sell?\n""}]","8,000"
"Christina holds a birthday party and wants to give a girl a gift of 0.75 sweets; since 1/4 of the girls didn't show up and she was 16 and one sweets cost 2$, how many did she sell to buy a sweets gift?",24,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nChristina holds a birthday party and wants to give a girl a gift of 0.75 sweets; since 1/4 of the girls didn't show up and she was 16 and one sweets cost 2$, how many did she sell to buy a sweets gift?\n""}]",6
"Ted Tyrannosaur wants to build a steam cooker in the dinosaur meatpacking plant. Imagine that it would cost 10 pounds for an adult dinosaur to cook meat for a younger dinosaur. If 20 adults and 10 children came to the meatpacking plant, how many pounds of steam would Ted have to build in order to feed everyone?",225,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTed Tyrannosaur wants to build a steam cooker in the dinosaur meatpacking plant. Imagine that it would cost 10 pounds for an adult dinosaur to cook meat for a younger dinosaur. If 20 adults and 10 children came to the meatpacking plant, how many pounds of steam would Ted have to build in order to feed everyone?\n'}]",200
Marcia has three times as many pets as Cindy does. Marcia has twice as many pets as Cindy does. Cindy has four pets. How many pets do we have?,28,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarcia has three times as many pets as Cindy does. Marcia has twice as many pets as Cindy does. Cindy has four pets. How many pets do we have?\n'}]",12
"Emilie has three children named Amy, Jackson, Corey and Jack. Amy is 5 years older than Jackson and Corey is 2 years younger. Since Jacques is 10 years old and Corey is 1 year older, how old is Jackson?",4,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nEmilie has three children named Amy, Jackson, Corey and Jack. Amy is 5 years older than Jackson and Corey is 2 years younger. Since Jacques is 10 years old and Corey is 1 year older, how old is Jackson?\n'}]",7
"In the morning, Lee ran the 400 meters and won the race by more than two seconds over Gerald, but when Gerald changed his diet, he increased his speed by 10%. If Lee ran the 400 meters and won the race by 38 seconds, how many seconds does Gerald run without changing his diet?",36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIn the morning, Lee ran the 400 meters and won the race by more than two seconds over Gerald, but when Gerald changed his diet, he increased his speed by 10%. If Lee ran the 400 meters and won the race by 38 seconds, how many seconds does Gerald run without changing his diet?\n'}]",380
"If in one area, the number of households exceeds the number of households of twelve if you add the number of dogs to the number of cats. if in one area there are two cats and sixty dogs, how many households are there in the area?",348,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIf in one area, the number of households exceeds the number of households of twelve if you add the number of dogs to the number of cats. if in one area there are two cats and sixty dogs, how many households are there in the area?\n'}]",74
"Of the 200 girls who made CM2, 2/5 are boys and 2/3 of the girls are scouts. What is the percentage of girls who are not scouts?",40,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nOf the 200 girls who made CM2, 2/5 are boys and 2/3 of the girls are scouts. What is the percentage of girls who are not scouts?\n'}]",20
"Harry fell asleep at nine o'clock last night. His friend Jacques slept for two-thirds of that time. If you don't count Jacques, how many hours did Harry spend asleep?",3,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nHarry fell asleep at nine o'clock last night. His friend Jacques slept for two-thirds of that time. If you don't count Jacques, how many hours did Harry spend asleep?\n""}]",9
"Freda doesn't cook the tomatoes she saves to make the sauce, the tomatoes are about the same size as the sauce. She cooks 16-ounce buckets and takes 3 tomatoes each. Freda's last sauce cooking resulted in 32 ounces of sauce. How many tomatoes did Freda cook?",12,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nFreda doesn't cook the tomatoes she saves to make the sauce, the tomatoes are about the same size as the sauce. She cooks 16-ounce buckets and takes 3 tomatoes each. Freda's last sauce cooking resulted in 32 ounces of sauce. How many tomatoes did Freda cook?\n""}]",6
"We are a group of women who live on a narrow strip of land. One of the women will be able to cross the 15 kilometers long road and then the other 20 women will cross the 15 kilometers long road. 5 women will take a detour to avoid crossing the narrow road. if the 30 kilometers long road had a fixed base, how many women will cross the 15 kilometers long road?",5,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nWe are a group of women who live on a narrow strip of land. One of the women will be able to cross the 15 kilometers long road and then the other 20 women will cross the 15 kilometers long road. 5 women will take a detour to avoid crossing the narrow road. if the 30 kilometers long road had a fixed base, how many women will cross the 15 kilometers long road?\n'}]",21
Marie loves to play. She once received a gift from a farmer who gave her more than enough potatoes. She once had 40 potatoes at the farmhouse in the countryside 2. She now collects one potato at the farmhouse to give to her friends who are nearby. How many potatoes does Marie have?,58,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarie loves to play. She once received a gift from a farmer who gave her more than enough potatoes. She once had 40 potatoes at the farmhouse in the countryside 2. She now collects one potato at the farmhouse to give to her friends who are nearby. How many potatoes does Marie have?\n'}]",41
"One day, 4 friends went to visit Jérôme. the first person knocked 20 times before Jérôme opened the door, the second person knocked 1/4 as many times as the first person knocked, the third person knocked 10 times as many as the third person knocked. If you know how the third person knocked 60 times, how many times did the dog shake?",175,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nOne day, 4 friends went to visit Jérôme. the first person knocked 20 times before Jérôme opened the door, the second person knocked 1/4 as many times as the first person knocked, the third person knocked 10 times as many as the third person knocked. If you know how the third person knocked 60 times, how many times did the dog shake?\n'}]",0
"Solo has read 4 pages of a science book, 20 pages of a book that teaches everything about humans and their habitats, 7 pages of a history book and 8 pages of a history book that covers everything. At the end of the day, he has read 15 pages. If he had the resources to finish high school, how many pages would he have read on a Sunday?",6,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSolo has read 4 pages of a science book, 20 pages of a book that teaches everything about humans and their habitats, 7 pages of a history book and 8 pages of a history book that covers everything. At the end of the day, he has read 15 pages. If he had the resources to finish high school, how many pages would he have read on a Sunday?\n'}]",54
"Jean likes to drink a glass of water for breakfast, lunch, and dinner. If she doesn't want to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of soda every night. How many glasses of water does Jean drink a day?",26,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJean likes to drink a glass of water for breakfast, lunch, and dinner. If she doesn't want to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of soda every night. How many glasses of water does Jean drink a day?\n""}]",4
"If the city stretches for 42 miles and if the sea level rises and the sea level sinks, how many steps will it take to destroy the entire city?",140,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIf the city stretches for 42 miles and if the sea level rises and the sea level sinks, how many steps will it take to destroy the entire city?\n'}]",42
Poppy wanted to make a bronze statue that would cost 1000 bronzes. she had to cut a third of the bronze to make the statue. then her mother cut a third of the remaining bronze to make the statue. how much bronze was left to complete the process of cutting bronze to make the statue?,500,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nPoppy wanted to make a bronze statue that would cost 1000 bronzes. she had to cut a third of the bronze to make the statue. then her mother cut a third of the remaining bronze to make the statue. how much bronze was left to complete the process of cutting bronze to make the statue?\n'}]",222
"Cody eats three times as many biscuits as Amir does. If Amir eats five biscuits, how many biscuits do we both eat?",20,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCody eats three times as many biscuits as Amir does. If Amir eats five biscuits, how many biscuits do we both eat?\n'}]",20
Jean has 3 boyets. One boyet is 5×6×4. The sides are 1 inch wide. How many boyets can three boyets make together?,72,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean has 3 boyets. One boyet is 5×6×4. The sides are 1 inch wide. How many boyets can three boyets make together?\n'}]",360
"Every afternoon, Frankie watches a TV that has already done its programming. On Tuesdays and Thursdays, he watches a TV show that has already done its programming for an hour. After watching 30 episodes of the show. On Thursdays, he finishes, he finishes his programming and then he watches one episode of the show and one episode of the show. Finally, he watches until midnight because his ears are tired and he watches two episodes of the show. If he watches all 7 episodes of the show, how many episodes of the show do he watch?",3,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nEvery afternoon, Frankie watches a TV that has already done its programming. On Tuesdays and Thursdays, he watches a TV show that has already done its programming for an hour. After watching 30 episodes of the show. On Thursdays, he finishes, he finishes his programming and then he watches one episode of the show and one episode of the show. Finally, he watches until midnight because his ears are tired and he watches two episodes of the show. If he watches all 7 episodes of the show, how many episodes of the show do he watch?\n'}]",7
"Henri was preparing cookies that a cook had prepared for him. He wanted to make something twice as good as he had made before, but in the evening, he realized that he had made 15 more cookies than he had expected. After adding 5 biscuits, they were no longer refrigerated and now there were 110 biscuits. How many biscuits had Henri made before?",50,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nHenri was preparing cookies that a cook had prepared for him. He wanted to make something twice as good as he had made before, but in the evening, he realized that he had made 15 more cookies than he had expected. After adding 5 biscuits, they were no longer refrigerated and now there were 110 biscuits. How many biscuits had Henri made before?\n'}]",45
"A gas station sells gasoline for $3.00 a barrel. A company offers a refund of $0.20 a barrel if the container is not filled. If someone buys 10 barrels of gasoline, how many times does the price of gasoline go up before it goes down?",28,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA gas station sells gasoline for $3.00 a barrel. A company offers a refund of $0.20 a barrel if the container is not filled. If someone buys 10 barrels of gasoline, how many times does the price of gasoline go up before it goes down?\n'}]",0
"Marcel and Béatrice meet us to find out what is the best thing to eat besides fruit juices. Now they've forgotten everything we've found there. The funny thing is, since one day Béatrice found two large and 24 small black peppers, and Marcel has three large and 14 small black peppers. If each of us eats his own peppers, how much is half of what we eat?",45,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nMarcel and Béatrice meet us to find out what is the best thing to eat besides fruit juices. Now they've forgotten everything we've found there. The funny thing is, since one day Béatrice found two large and 24 small black peppers, and Marcel has three large and 14 small black peppers. If each of us eats his own peppers, how much is half of what we eat?\n""}]",21
"Julia's boat sank and she found herself in the river. The boat began to sink 2 liters of water that flowed ten feet towards the shore. It took eleven minutes for the boat to sink. The shore was 64 feet deep, how many liters of water did the boat sink?",16,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJulia's boat sank and she found herself in the river. The boat began to sink 2 liters of water that flowed ten feet towards the shore. It took eleven minutes for the boat to sink. The shore was 64 feet deep, how many liters of water did the boat sink?\n""}]",22
"one room usually has one white notebook which we distribute to 4 teachers who use this room every day. no one says he teaches 2 classes every Sunday and uses the same white notebook. if we turn the notebook on three times in one class, how many times do we turn the notebook on in one day?",24,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \none room usually has one white notebook which we distribute to 4 teachers who use this room every day. no one says he teaches 2 classes every Sunday and uses the same white notebook. if we turn the notebook on three times in one class, how many times do we turn the notebook on in one day?\n'}]",24
"Every Sunday, Ryan plants two flowers in his small garden. If you know how 5 flowers grow, how many flowers will the 15 plants have?",25,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nEvery Sunday, Ryan plants two flowers in his small garden. If you know how 5 flowers grow, how many flowers will the 15 plants have?\n'}]",30
"Jamal's telescope can hold up to six times as many birds as the forest of Brittany. The forest of Brittany can hold up to 50 times as many birds as the forest of plants, even if the canals are located in the same area where the animals are. If Jamal's telescope of the 1800s can hold a statue, how many statues can we find?",6,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJamal's telescope can hold up to six times as many birds as the forest of Brittany. The forest of Brittany can hold up to 50 times as many birds as the forest of plants, even if the canals are located in the same area where the animals are. If Jamal's telescope of the 1800s can hold a statue, how many statues can we find?\n""}]",0
"After we bought some tablets, Shasha checked how much the sale had increased the price by 50% in the last few months. She now sells the remaining tablets. She had 10 2×4×10 tablets that she had bought 10 years ago and bought five 4×4×10 tablets that were worth 16 fps each. Given how much she had sold, how much was the increase compared to the original?",90,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nAfter we bought some tablets, Shasha checked how much the sale had increased the price by 50% in the last few months. She now sells the remaining tablets. She had 10 2×4×10 tablets that she had bought 10 years ago and bought five 4×4×10 tablets that were worth 16 fps each. Given how much she had sold, how much was the increase compared to the original?\n'}]",50
"Katy makes a cup of coffee with a cup of water, a few cups of sugar, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups",42,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKaty makes a cup of coffee with a cup of water, a few cups of sugar, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups\n'}]",1
"For each of her three children, Jean bought two pairs of shoes that cost $60 each. What's the difference?",360,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nFor each of her three children, Jean bought two pairs of shoes that cost $60 each. What's the difference?\n""}]",0
"A customs official at the main port of departure for each of the Seaside warehouses counted two cases of women entering without being checked, one day there were 5 women inside. the next day, other cases of women entering again increased the number of women to 30. counted the number of cases of women entering the country for the second time, taking into account the total number of cases of 5 women.",4,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA customs official at the main port of departure for each of the Seaside warehouses counted two cases of women entering without being checked, one day there were 5 women inside. the next day, other cases of women entering again increased the number of women to 30. counted the number of cases of women entering the country for the second time, taking into account the total number of cases of 5 women.\n'}]",25
"Adrien's total salary was 30% more than Lylah's salary. Three years earlier, the salary had risen to more than 40% of what she had previously earned. While Adrien and Lylah's salary had risen, and Adrien had earned $40,000 three years earlier, their salary had risen three years earlier.",95200,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nAdrien's total salary was 30% more than Lylah's salary. Three years earlier, the salary had risen to more than 40% of what she had previously earned. While Adrien and Lylah's salary had risen, and Adrien had earned $40,000 three years earlier, their salary had risen three years earlier.\n""}]",40000
"Miguel uses 2 cartoons a day to create his paintings. If a cartoon uses 30 cartoons, how many cartoons does the moon use?",240,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMiguel uses 2 cartoons a day to create his paintings. If a cartoon uses 30 cartoons, how many cartoons does the moon use?\n'}]",0
"Let's throw out Morisette and Kael. Morisette has 5 apples, and Kael has 8 apples. Kael has twice as many as Morisette, and Kael has twice as many as Morisette.",27,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nLet's throw out Morisette and Kael. Morisette has 5 apples, and Kael has 8 apples. Kael has twice as many as Morisette, and Kael has twice as many as Morisette.\n""}]",5
Sadie slept for 8 hours a night. The next two nights she slept 2 hours more than usual because of her husband's illness. The rest of the nights she slept 1 hour more than usual. How many hours did she sleep in total?,48,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nSadie slept for 8 hours a night. The next two nights she slept 2 hours more than usual because of her husband's illness. The rest of the nights she slept 1 hour more than usual. How many hours did she sleep in total?\n""}]",62
Rosie runs at a speed of 10 miles per hour for 3 hours. Then she runs at 5 miles per hour. How many miles would she run for 7 hours?,50,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRosie runs at a speed of 10 miles per hour for 3 hours. Then she runs at 5 miles per hour. How many miles would she run for 7 hours?\n'}]",55
"Jennie comes to help her mother in the office of her company. She already has a list of 60 letters to make stamps and other stamped letters. Now she has made a list of a third of the letters to make stamps. if the list of 30 letters is there, how many were there when Jennie started working?",10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJennie comes to help her mother in the office of her company. She already has a list of 60 letters to make stamps and other stamped letters. Now she has made a list of a third of the letters to make stamps. if the list of 30 letters is there, how many were there when Jennie started working?\n'}]",90
"Julia is preparing for a dinner party at their house. So she decides to make ragout. She checks that there are no more couscous, and buys a pack of couscous. Later, her husband buys another pack of 5 couscous and gives it to Julia. When she cooks, Julia uses 3 couscous to cook the meal. When she cooks the first meal, she uses 12 couscous. How many couscous are in the package that Julia forgot?",10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJulia is preparing for a dinner party at their house. So she decides to make ragout. She checks that there are no more couscous, and buys a pack of couscous. Later, her husband buys another pack of 5 couscous and gives it to Julia. When she cooks, Julia uses 3 couscous to cook the meal. When she cooks the first meal, she uses 12 couscous. How many couscous are in the package that Julia forgot?\n'}]",10
Dylan had the experience of cooking shrimp and cooking fish in order to make a small cake with shrimp on one occasion. He bought 38 more shrimp sausages and 6 more fish sausages than he bought from the shrimps. How much did it cost to make all the sausages?,82,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nDylan had the experience of cooking shrimp and cooking fish in order to make a small cake with shrimp on one occasion. He bought 38 more shrimp sausages and 6 more fish sausages than he bought from the shrimps. How much did it cost to make all the sausages?\n'}]",44
"When we moved to another school, Amy outnumbered Lily's 20 friends. If Lily has 50 friends, how many friends do Lily and Amy have?",120,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nWhen we moved to another school, Amy outnumbered Lily's 20 friends. If Lily has 50 friends, how many friends do Lily and Amy have?\n""}]",120
"Well's mother sells toys, powders, and candy at the grocery store. A box of one toys can be a third box of candy, a fifth box of candy. We sent Dillon to the store to buy 4 toys, 20 toys, and 10 candies. How much money would it cost if each box was worth $15?",880,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nWell's mother sells toys, powders, and candy at the grocery store. A box of one toys can be a third box of candy, a fifth box of candy. We sent Dillon to the store to buy 4 toys, 20 toys, and 10 candies. How much money would it cost if each box was worth $15?\n""}]",510
"A hospital treats about 500 people a day. The average patient is treated in a tent for 24 hours. Doctors pay the hospital an hourly fee of $150, and $200 per patient. How much does the hospital make per page?",10000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA hospital treats about 500 people a day. The average patient is treated in a tent for 24 hours. Doctors pay the hospital an hourly fee of $150, and $200 per patient. How much does the hospital make per page?\n'}]",350
"Nissa hired 60 workers to manage the estate in Santa's hometown of her department store. The three of them took a break from their day jobs when the children left them, especially since the other 10 had quit their day jobs when the children left them. How many workers were left?",30,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nNissa hired 60 workers to manage the estate in Santa's hometown of her department store. The three of them took a break from their day jobs when the children left them, especially since the other 10 had quit their day jobs when the children left them. How many workers were left?\n""}]",47
"In May, Joseph's net worth was $500. This was followed by a decline in June. What is the sum of his net worth over the two months?",940,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nIn May, Joseph's net worth was $500. This was followed by a decline in June. What is the sum of his net worth over the two months?\n""}]",500
"Pam and Fred went to a ticketing convention. Pam walked around the block twice, Fred did it four times. Eventually, one of them said that he had made two tickets. If each ticket came with 6 tickets, how many of the tickets were used?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nPam and Fred went to a ticketing convention. Pam walked around the block twice, Fred did it four times. Eventually, one of them said that he had made two tickets. If each ticket came with 6 tickets, how many of the tickets were used?\n'}]",12
