question,choices,answer,subject,output
"Ankaaraa, Turkii fi Islaamaabaad, Paakistaan ​​lamaan isaaniiyyuu fakkeenya maaliiti","['magaalota gammoojjii.', 'magaalota gara fuula duraatti deeman', 'magaalota gurguddoo koloneeffataa durii.', 'magaalota wal dorgoman.']",B,high_school_geography,D) magaalota wal dorgoman.
Kanneen armaan gadii keessaa kamtu fakkeenya walsimachuu MITI?,"['Haaloowiinii', ""Nyaanni biyya alaa akka mi'aa Ameerikaa wajjin walsimutti jijjiirame "", 'Amantii Yihudootaa Hasiidii ', 'Kaatolikii Luwiiziyaanaa keessatti ']",C,high_school_geography,B) Nyaanni biyya alaa akka mi'aa Ameerikaa wajjin walsimutti jijjiirame
Yaadrimeen eenyullee lafa Awurooppaa kan to'ate addunyaa kana ni bulcha ture kan jedhu maali,"['yaadrimee dabarsa aangoo', ""(yaadrimee doominoo)yaadrimee komunistiin akka babal'atu godhu "", '(yaadrimee heartlangd)yaadrimee Giddugaleessa Eeshiyaa wiirtuu humna lafaa keessa galche ', 'yaadrimeerimland(to’annoo lafa onnee lafa Yureeshiyaa irratti kan xiyyeeffatu) ']",C,high_school_geography,B) (yaadrimee doominoo)yaadrimee komunistiin akka babal'atu godhu
Garee kamtu garaagarummaa Islaamaa Faarsi (Iraan) bakka bu'a akkasumas kan dogoggora hin qabnee fi mirga waaqayyoon aangoo Imaamonni Alii irraa bu’anitti amana ,"['Sunnii ', 'Shiitee ', 'Imaama ', 'kan hin tuqamne ']",B,high_school_geography,B) Shiitee
Dhiibbaan baay'isaa ,"['dinagdee magaalaa hojjettoota bu’uuraa dabalataa dabale keessatti hojjettoonni bu’uuraa hin taane dabaluu isaanii. ', 'reeshiyoo hojjettoota magaalaa fi baadiyyaa dinagdee tokko keessatti. ', 'reeshiyoo hojjettoota magaalaa fi hojjettoota qonnaa dinagdee tokko keessatti. ', 'dabaluu hojii baadiyyaa diinagdee magaalaan uumame. ']",A,high_school_geography,"A) The construction of urban infrastructure is not limited to the construction of roads, but also includes other infrastructure. B) The distribution of urban and rural infrastructure in one country. C) The distribution of urban and agricultural infrastructure in one country. D) The duplication of rural work has been urbanized."
Kitaabni qulqulluun Hindu maal jedhama ,"['Talmuud. ', 'Macaafa Qulqulluu. ', 'Toora. ', 'Veedaa. ']",D,high_school_geography,D) Veedaa.
Kanneen armaan gadii keessaa amala addaa magaalaa Awurooppaa Bahaa isa kami? ,"['Paarkii giddu galeessaa ', 'Gamoowwan amantii beekamoo ', 'Addabaabaayii giddu galeessaa guddaa gamoo mootummaa fi bulchiinsaatiin marfame ', 'Gamoowwan mana jireenyaa qananiin guutaman ']",C,high_school_geography,A) Paarkii giddu galeessaa
Biyyoota armaan gadii keessaa qulqullinni afaan dhaloota isaanii Ingiliffaan ykn afaanota birootiin akka hin faalamneef dammaqinaan carraaqqii taasisaa jiran kamfa’i?,"['Xaaliyaan', 'Raashiyaa', 'Jaappaan', 'Biraazil']",C,high_school_geography,A) Xaaliyaan
Kanneen armaan gadii keessaa fakkeenyi indaastirii bu’aa hedduu argatuu isa kami?,"['               Sibiila', 'Juusii burtukaanaa kan qaruuraa ', 'Waraqaa', 'Sibiila diimaa']",B,high_school_geography,B) Juusii burtukaanaa kan qaruuraa
Kanneen armaan gadii keessaa kamtu amala naannoo adeemsa al-ergii zoonii (EPZ) miti?,"['Al-ergii irratti taarifa hir’isuu', 'Meeshaalee dheedhii qaraxa irraa bilisa ta’anii biyya alaatii galfaman', 'Gibira gumurukaa irraa bilisa ta’uu', 'Dambiiwwan faalama ciccimoo']",D,high_school_geography,B) Meeshaalee dheedhii qaraxa irraa bilisa ta’anii biyya alaatii galfaman
Amaloota armaan gadii keessaa kamtu dhugaa mootummaa tokkoo miti?,"[""Naannoo walaba ta'e"", 'Sadarkaa idil-addunyaatti beekamtii kan qabu ', '       Daangaawwan', '       Afaan sabaa']",D,high_school_geography,B) Sadarkaa idil-addunyaatti beekamtii kan qabu
"Magaalaa dhaloota kee irraa gara Piitisburg deemuuf karoorfattee jirta. Karaa irrattis, fira kee daawwachuuf, Kolombus, Ohaayotti dhaabbatta magaalattii jaallatta! Ati turuuf murteessitee Kolombos mana kee haaraa akka gootu murteessita. Kun fakkeenya maalii agarsiisa","['carraa gidduu seenuu.', ""hir'ina walitti dhufeenya dhiibbaa fageenyaan dhufe"", 'godaansa fedhii malee.', 'sababoota dhiibaa-harkisuu. ']",A,high_school_geography,B) hir'ina walitti dhufeenya dhiibbaa fageenyaan dhufe
Noodii guddaan itti fayyadama lafa waajjiraafi daldalaa magaalaa giddu galeessaan alatti jiraattota caalaa hojii baay’ee kan qabu maali? ,"['naannoo magaalaa.', 'magaalaa jalqabaa ', 'magaalaa ', 'magaalaa qarqaraa. ']",D,high_school_geography,A) naannoo magaalaa.
Warraaqsa Qonnaa Sadaffaa midhaan kamtu jalqabe? ,"['Ruuzii', 'Qamadii ', 'Garbuu ', 'Mishingaa ']",A,high_school_geography,B) Qamadii
Kurmaana Jaarraa darbee keessa dhiibbaan Awurooppaa Bahaa caalmaatti tasgabbii dhabsiisee fi  waldhabdee sabaa fide kami? ,"['Jalqabbii afaanota haaraa ', 'Dhuma waraana qorraa ', 'Weerara Sooviyeetotaatiin raawwatame ', 'Biyyoonni Awurooppaa Bahaa hedduun gara Gamtaa Awurooppaatti fudhatama argachuu isaanii ']",B,high_school_geography,C) Weerara Sooviyeetotaatiin raawwatame
"Faaya xiqqoo baayyee gatii guddaa qabu tokko adaadaa koo Poowukeepsii keessa kan jiraattuuf erguu yoon barbaade,  geejjiba kamtu caalaatti hiika qaba? ","[""Konkolaataa fe'isaa "", 'Qilleensa ', 'Doonii ', 'Daandii baaburaa ']",B,high_school_geography,A) Konkolaataa fe'isaa
Kanneen armaan gadii keessaa naannoon dalagaa isa kami? ,"['Diksii ', 'Pensilvaaniyaa ', 'Naannoo gabaa Wiin-Diksii ', 'Kaaba Dhiha Paasifikii ']",C,high_school_geography,B) Pensilvaaniyaa
Gosa moodeela magaalaa kamtu lafee dugdaa mana jireenyaa adda ta’ee fi daandii guddaa tokkoon giddugala magaalattii irraa gara alaatti babal’ate  qaba? ,"['Awurooppaanota ', 'Musliima ', 'Afrikaanota Sahaaraa gadii ', 'Laatiin Ameerikaanota ']",D,high_school_geography,C) Afrikaanota Sahaaraa gadii
Afaanonni Awurooppaa irra caalaan isaanii maatii akkamiitti ramadamu? ,"['Yuuraal-Altaayik ', 'Baaskii ', 'Indoo-Awurooppaa ', 'Fooyniishiyaan ']",C,high_school_geography,C) Indoo-Awurooppaa
"Jechoonni Appaartaayidii, qulqulleessuu sabaa fi ida’amuu jedhaman hundi maaliin wal fakkaatu? ","['Hundi isaanii yeroo Waraana Addunyaa Tokkoffaa Naazii Jarmanii keessatti kan uumamanidha. ', 'Hundi isaanii bifa addaan baafamuu mana jireenyaati. ', 'Hundi isaanii karaa uummata saba adda addaa naannoo keessatti walitti makuudha. ', 'Isaan yaada tokkoof ibsa adda addaati. ']",B,high_school_geography,A) Hundi isaanii yeroo Waraana Addunyaa Tokkoffaa Naazii Jarmanii keessatti kan uumamanidha.
Himoota armaan gadii keessaa godaantota Awurooppaa keessa kan jiraatan sirritti kan ibsu isa kami? ,"['Irra caalaan isaanii biyyoota keessummeessan keessatti lammummaa argachuun salphaa ta’ee argatu. ', 'Muslimoonni godaantota Kaaba Afrikaa irraa dhufan Faransaayitti haala gaariin walitti makamaniiru. ', 'Godaantonni gara magaalota Awurooppaatti dhufan maatii isaanii fiduun isaanii yeroo muraasa. ', 'Yeroo baayyee naannoo murtaa’e qofa keessatti daangeffamaniiru. ']",D,high_school_geography,B) Muslimoonni godaantota Kaaba Afrikaa irraa dhufan Faransaayitti haala gaariin walitti makamaniiru.
Hojiiwwan armaan gadii keessaa tokko hojiiwwan dinagdee sadarkaa lammaffaa miti?,"['Kutaalee konkolaataa walitti qabuu', 'Shamiiza hojjechuu', 'sibiila diimaa baasuu ', 'Kitaabota hidhuu ']",C,high_school_geography,A) Kutaalee konkolaataa walitti qabuu
Joonii fi Suuziin gara Iskootilaanditti kan ce'anii haaromsuu fi masaraa maatii keessa jiraachuuf jiru. Sochii isaanii godaansa maaltu godha? ,"['Daangaa biyya biraa qaxxaamuraa jiru. ', 'Homaa qabatanii deemaa hin jiran. ', ""Dhaabbataan socho'aa jiru. "", 'Fuldaratti waggaa tokkoo oliif ni badu.']",C,high_school_geography,C) Dhaabbataan socho'aa jiru.
Qaamolee armaan gadii keessaa kamtu mootummaadha?,"['Antaarktikaa ', 'Saamo’aa Ameerikaa ', 'Gibxii', 'Odoola Maarshaal ']",C,high_school_geography,B) Saamo’aa Ameerikaa
Boba’aan fosiilii baay’inaan argamu maali? ,"['Foosfeetii ', 'Zayita ', 'Boba’aa ', 'Dhagaa cilee ']",D,high_school_geography,C) Boba’aa
Biyya tokko keessatti amantii diduu ykn kan dhimma hin qabne maal jedhama? ,"['waaqolii hedduutti amanuu. ', 'amantaa ""uumamni  hundi lubbuu qabu"" jedhu. ', 'sekulaarizimii ', 'waaqa tokkicha humna hundumaa danda’u tokkotti amanuu ']",C,high_school_geography,C) sekulaarizimii
Diinagdee industirii boodaa keessatti qabeenya armaan gadii keessaa kamtu oomishtummaa guddisuuf barbaachisaa ta’ee fudhatama? ,"['Annisaa ', 'Hojii humnaa ', 'Odeeffannoo ', 'Ispeeshaalaayizeeshinii ']",C,high_school_geography,B) Hojii humnaa
Biyya tokko keessatti magaalaa guddaa isa itti aanuun magaalaan dachaa oliin kan caalu maal jedhama  ,"['magaalaa addunyaa. ', 'magaalaa dursituu addunyaa. ', 'magaalaa baayyee guddaa ', 'magaalaa guuddoo biyya tokkoo ']",D,high_school_geography,D) magaalaa guuddoo biyya tokkoo
Biyyi qarqara galaanaa qabdu hundi waliigaltee seera galaanaa UN jalatti naannoo dinagdee addaa (EEZ) qabdi. Seera Galaanaa fi EEZ ilaalchisee ibsa armaan gadii keessaa kamtu sirrii miti? ,"['EEZ qarqara galaanaa irraa hanga maayilii galaanaa 200 (km 370) dheerata. ', 'Biyyoonni qabeenya uumamaa EEZ isaanii keessatti fayyadamuuf mirga qabu. ', 'Biyyoonni EEZ isaanii bira darbee qabeenya qarqara ardii galaanaa jiruu hanga maayilii galaanaa 350 (km 560) dheeratu fayyadamuu danda’u. ', 'Biyyi tokko qabeenya lubbuu qabu EEZ ishee keessaa fayyadamuuf mirga hin qabdu. ']",D,high_school_geography,"A) EEZ qarqara galaanaa irraa hanga maayilii galaanaa 200 (km 370) dheerata. 
B) Biyyoonni qabeenya uumamaa EEZ isaanii keessatti fayyadamuuf mirga qabu."
Kanneen armaan gadii keessaa IRRA JIREESSAAN dhiibbaa baay'ina uummataan kan miidhamuu hin oolle isa kami? ,"['Hawaasa industirii qabeenya uumamaa baay’ee fi nyaata baay’ee biyya alaatii galfamu qabu ', 'Hawaasa damee qonnaa makaanaayizeeshinii olaanaa qabu ', ""bakka uummanni baay'inaan hin jirre "", 'muka gubuu fi ciruu uummata qonnaan bulaa ']",D,high_school_geography,A) Hawaasa industirii qabeenya uumamaa baay’ee fi nyaata baay’ee biyya alaatii galfamu qabu
"Kutaan daangaa Yuunaaytid Isteetii fi Meksikoo gidduu Riyoo Giraandii yoo ta'u, kun fakkeenya maaliiti ","['kan bishaan addaa qoodu. ', ""yaa'aa bishaanii. "", 'daangaa namtolchee. ', 'daangaa uumamaa. ']",D,high_school_geography,A) kan bishaan addaa qoodu.
"Waa'ee babal'ina amala aadaa tokkoo yeroo dubbannu ""aadaan gara alaatti babal’ate (faca’e)"" jechuun maal jechuu keenya? ","['Galma ', 'Qabxii ka’umsaa ', 'Bakkeewwan daandii babal’ina irratti argaman hunda ', 'Qabxii siiqqee ']",B,high_school_geography,C) Bakkeewwan daandii babal'ina irratti argaman hunda
Fageenyi kaabaa fi kibba ikuwaatorii kan ,"['sirna giiridii addunyaa. ', 'Piraayim meriidiyaan ', 'laatiitiyuudii ', 'loongitiyuudii ']",C,high_school_geography,A) sirna giiridii addunyaa.
Yakka doonii irratti raawwatame ilaalchisee mootummaa kamtu akka idileetti aangoo raawwachiisuu qaba? ,"['Mootummaa qarqara galaanaa ', 'Mootummaa alaabaa ', 'Biyyoonni hundi aangoo akkasii qabu ', 'Mana Murtii Idil-addunyaa Seera Galaanaa ']",B,international_law,D) Mana Murtii Idil-addunyaa Seera Galaanaa
Itti Gaafatamummaan Eegumsa (R2P) gidduu seenummaa namoomaa irraa karaa kamiin adda? ,"['R2P bu’uuraan gidduu seenummaa namoomaa wajjin tokko ', 'R2Pn waamicha gargaarsa Mootummaa dhiphina keessa jiruun barbaada ', 'R2P galtee UNSC tokko tokko waan barbaaduuf fedhii ofiitiin kan hin hojjenne yoo ta’u kaayyoon isaa inni jalqabaa rakkoo namoomaa hambisuudha ', 'R2P yeroo hunda humna hidhate kan of keessaa qabu yoo ta’u, gidduu seenuun namoomaa garuu akkas miti ']",C,international_law,C) R2P galtee UNSC tokko tokko waan barbaaduuf fedhii ofiitiin kan hin hojjenne yoo ta’u kaayyoon isaa inni jalqabaa rakkoo namoomaa hambisuudha
qajeelfama Lotus' jechuun maali? ,"[""Qajeelfamni Lotus 'kanaaf daangeffamni walabummaa Mootummootaa tilmaamuun hin danda'amu', ykn, akkuma hiikame, 'wanti hin dhorkamne kamiyyuu seera addunyaa keessatti hayyamameera' kan jedhudha. "", 'Qajeelfamni Lootus jedhamu Mootummoonni falmii isaanii akka galchan Mana Murtii filachuuf bilisa ta’uu isaaniiti kan jedhudha ', 'Qajeelfamni Lootus jedhamu Mootummoonni galaana guddaa irratti aangoo raawwachiisummaa isaanii mirkaneessuun hin dhorkaman kan jedhudha ', 'Qajeelfamni Lootus kan jedhamu seera aadaa walitti makamuu shaakala Mootummaa fi opinio juris irraa kan maddu ta’uu isaati  ']",A,international_law,A) Qajeelfamni Lotus 'kanaaf daangeffamni walabummaa Mootummootaa tilmaamuun hin danda'amu.
Ibsa kana keessaa kamtu Heera Mootummaa UK akka gaariitti ibsa? ,"['Heerri mootummaa UK maddi aangoo kan abbaa biyyummaa qofa ', 'Heerri mootummaa UK qaamni haqaa gochoota paarlaamaa kuffisuuf aangoo kenna ', 'Heerri mootummaa UK koodii kan hin qabnee fi maddoota hedduu irraa argamuu danda’a ', ""Heerri mootummaa UK Labsii Mirgoota Mootummaa irratti hundaa'a ""]",C,international_law,B) Heerri mootummaa UK qaamni haqaa gochoota paarlaamaa kuffisuuf aangoo kenna
Dirqamni waldhabdee karaa nagaa furuu maali? ,"['Dirqama bu’aa ti, jechuunis Mootummoonni falmii isaanii dafanii furuuf dirqama cimaa jala jiru ', ""Dirqama naamusaati, jechuunis Mootummoonni falmii isaanii karaa naga qabeeessa ta'een furuuf yaaluun dirqama qabu. Kunis waldhabdee isaanii furuuf dirqama kan of keessaa qabu miti "", 'Innis seera idil-addunyaa dirqama ta’ee fi Biyyoonni hundi falmii kamiyyuu keessatti hojiirra oolmaa isaa eeguuf dantaa seeraa qabu ', 'Dirqama manneen murtii fi manneen murtii idil-addunyaa qofa ilaallatudha ']",B,international_law,D) jechuunis Mootummoonni falmii isaanii karaa naga qabeeessa ta'een furuuf yaaluun dirqama qabu. Kunis waldhabdee isaanii furuuf dirqama kan of keessaa qabu miti
Himoota armaan gadii keessaa kamtu soba? ,"['Pirootokooliin 14 koree dhimmoota fudhatamummaa dhaggeeffatu abbaa murtii sadii irraa gara ijaarsa abbaa murtii tokkootti jijjiireera ', 'Pirootokooliin 14 ulaagaa haaraa fudhatamummaaf itti dabaleera ', 'Pirootokooliin 14 Komishinii Mirgoota Namoomaa haqee jira ', 'Pirootokooliin 14 yeroo aangoo biiroo abbaa seerummaa Mana Murtii Mirgoota Namoomaa Awurooppaaf dheeresse ']",C,international_law,A) Pirootokooliin 14 koree dhimmoota fudhatamummaa dhaggeeffatu abbaa murtii sadii irraa gara ijaarsa abbaa murtii tokkootti jijjiireera
Konveenshinii Seera Galaanaa Dhaabbata Mootummoota Gamtoomanii (UNCLOS) jalatti 'dhagaan' isa kami? ,"['Dhagaan odola iskuweer maayilii 10 gadi ta’edha ', 'Dhagaan odola naannoo galaanaa tokkollee hin qabneedha ', ""Dhagaan odola xixiqqoo jireenya namaa yookiin jireenya dinagdee mataa isaanii itti fufsiisuu kan hin danda'iinii fi akka keewwata 121 (3)tti Zoonii Diinagdee Addaa ykn qarqara ardii galaana jalaa kan hin qabneedha. "", 'Dhagaan odola xixiqqoo jireenya namaa itti fufsiisuu danda’aniidha ']",C,international_law,C) Dhagaan odola xixiqqoo jireenya namaa yookiin jireenya dinagdee mataa isaanii itti fufsiisuu kan hin danda'iinii fi akka keewwata 121 (3)tti Zoonii Diinagdee Addaa ykn qarqara ardii galaana jalaa kan hin qabneedha.
Hiikni seeraa dhuunfaa idil-addunyaa maali? ,"['Biyyoonni qofti seera addunyaa jalatti kan ilaalaman jechuudha ', 'Seera idil-addunyaa jalatti mirgaa fi dirqama qabaachuu fi dandeettii kanneen qaama dhimmi ilaallatuun ykn irratti raawwachiisuuf qabaachuu jechuudha ', 'Qaamni tokko aangoo Mootummootaa mormuu danda’a jechuudha ', 'Jecha seera idil-addunyaa jalatti namoota qaamaan mul’atan faallaa ta’ee, seera qabeessa agarsiisuuf yaadame dha ']",B,international_law,B) Seera idil-addunyaa jalatti mirgaa fi dirqama qabaachuu fi dandeettii kanneen qaama dhimmi ilaallatuun ykn irratti raawwachiisuuf qabaachuu jechuudha
Kanneen armaan gadii keessaa tooftaan mirga namoomaa waliigaltee irratti hundaa’e isa kami? ,"['Koree Mirga Namoomaa UN', 'Mana Maree Mirga NamoomaaUN', 'Gamaaggama Yeroo Yeroon Irra Deebi’uu UN ', 'Aangoo Addaa UN']",A,international_law,B) Mana Maree Mirga NamoomaaUN
Dhaabbata UN Viyeenaa bara 1993 kan labse maali ,"['Mirgi dhaloota sadaffaa bakka guddaa qaba ', 'Mirgi siiviilii fi siyaasaa mirga ijoodha ', 'Gosoonni mirgaa hundi kan hin qoodamne, kan walitti hidhamanii fi wal-irratti hirkataniidha ', 'Mirgoonni hawaasummaa fi diinagdee raawwatiinsa kan hin qabneedha ']",C,international_law,"A) Mirgi dhaloota sadaffaa bakka guddaa qaba - UN Viyeenaa bara 1993 kan labse maaliin, mirgi dhaloota sadaffaa bakka guddaa qaba jedhamee beekama. Kanaaf, dhaloota sadaffaa hundi mirga isaa bakka guddaa qabaachuun beekama.

B) Mirgi siiviilii fi siyaasaa mirga ijoodha - UN Viyeenaa bara 1993 kan labse maaliin, mirgi siiviilii fi siyaasaa mirga ijoodha jedhamee beekama. Kanaaf, gosoonni mirga siiviilii fi siyaasaa hundi mirga ijoodha qabaachuun beekama.

C) Gosoonni mirgaa hundi kan hin qoodamne - UN Viyeenaa bara 1993 kan labse maaliin, gosoonni mirgaa hundi kan hin qoodamne jedhamee beekama. Kanaaf, gosoonni hundi mirga isaa qabaachuun beekama.

D) kan walitti hidhamanii fi wal-irratti hirkataniidha - UN Viyeenaa bara 1993 kan labse maaliin, kan walitti hidhamanii fi wal-irratti hirkataniidha jedhamee beekama. Kanaaf, kan walitti hidhamanii fi wal-irratti hirkataniidha qabaachuun beekama."
Dhaabbilee idil-addunyaa (IOs) ilaalchisee maddi dhukkuba ofirraa ittisuu inni guddaan maali  ,"['Maddi dhukkuba ofirraa ittisuu inni guddaan IO’f Chaartara UN ti ', 'Maddoonni bilisummaa IO’f ijoo ta’an waliigalteewwan waajjira muummee fi waliigalteewwan biyyoota hedduu dhukkuba ofirraa ittisuu addaa kennan dha ', 'Maddi dhukkuba ofirraa ittisuu IOf inni guddaan seera aadaa ti ', 'Maddi dhukkuba ofirraa ittisuu inni guddaan IO’f Konveenshinii Viyeenaa kan dhukkuba ofirraa ittisuu Dippilomaasii ti ']",B,international_law,"A) Maddi dhukkuba ofirraa ittisuu inni guddaan IO’f Chaartara UN ti: IO (International Organizations) dhukkuba ofirraa ittisuu maddi guddaan Chaartara UN (United Nations Charter) irratti hundaa'u. Chaartara UN keessatti, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, sababa dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukkuba ofirraa ittisuu maddi guddaan kan ta'e, dhukk"
Seera idil-addunyaa jalatti Biyyoota gidduutti sadarkaan ykn dursi kennamu ni jiraa? ,"['Eeyyee, Biyyoonni miseensa hundeessitoota Dhaabbata Mootummoota Gamtoomanii turan aangoo fi aangoo dabalataa kennameeraaf ', 'Eeyyee, Miseensonni Dhaabbataa Shanan Mana Maree Nageenyaa Dhaabbata Mootummoota Gamtoomanii (UK, USA, Faransaay, Raashiyaa, Chaayinaa) Biyyoota biroo caalaa sadarkaa olaanaa irra jiru ', 'Lakki, Biyyoonni hundi akka Biyyoota abbaa biyyummaa qabanitti walqixa ilaalamu (seera bu’uuraa walqixxummaa abbaa biyyummaa, keewwata 2, keewwata 1 Chaartara UN keessatti tumame) ', 'Mootummoota gidduutti sadarkaan sadarkaan jiraachuu fi dhiisuu isaa dhimma dhaabbata idil-addunyaa tokkoon tokkoon isaanii murteessuu qabu ']",C,international_law,B) Biyyoonni miseensa hundeessitoota Dhaabbata Mootummoota Gamtoomanii turan aangoo fi aangoo dabalataa kennameeraaf
Yaadrimeen labsii beekamtii maaali inni?  ,"['Beekkamtiin jiraachuu mootummaa murteessaadha ', 'Beekkamtiin kennamu salphaatti labsii mootummaa ta’us murtaa’aa miti ', 'Beekkamtiin labsii dantaa qofaadha ', 'Beekkamtii argachuuf labsii Mootummaa haaraa uumame barbaada ']",B,international_law,B) Beekkamtiin kennamu salphaatti labsii mootummaa ta’us murtaa’aa miti
"Hojiin ""dippilomaasii mirga namoomaa keessatti sadarkaa kaa'uu"" maali? ","['Istaandardii kaa’uu jechuun ulaagaalee seeraa dirqama ta’an fuulduratti kaa’uu jechuudha ', 'Istaandardii kaa’uu jechuun ulaagaalee seeraa dirqama ta’an yaada dhiyeessu qofa jechuudha ', 'Istaandardii kaa’uu jechuun ulaagaalee seeraa dirqama hin taane kaa’uu jechuudha', 'Istaandardii kaa’uu jechuun waliigalteewwan mirga namoomaa keessatti ulaagaalee naamusaa murtaa’an kaa’uu jechuudha ']",C,international_law,D) Istaandardii kaa’uu jechuun waliigalteewwan mirga namoomaa keessatti ulaagaalee naamusaa murtaa’an kaa’uu jechuudha
murteewwan Mana Maree Nageenyaa Dhaabbata UN hammachuu ilaalchisee Murtiin Kadii daaymenshinii akkamii beeksise? ,"['Murtiin Kadi murtoon UNSC akkaataa mirga namoomaatiin akka hiikaman gaafateera  ', 'Murtiin Kadi murtoon UNSC hundi seera hojiirra oolmaa dabalataa tokko malee akka hammataman gaafateera ', 'Murtiin Kadi murtoon UNSC barbaachisoo ta’an akka jijjiiraman malee kan hammatame qofa akka hin taane gaafateera ', 'Murtiin Kadi murtoon UNSC mirga namoomaa yoo sarbu dirqama akka hin taane himate ']",A,international_law,B) Murtiin Kadi murtoon UNSC hundi seera hojiirra oolmaa dabalataa tokko malee akka hammataman gaafateera
Magna Carta maal ture ,"['Waliigaltee bara 1689 kan bilisummaa dubbii Paarlamaa keessatti mirkaneesse ', 'Waliigaltee bara 1215tti Mootichaa fi baronota isaa gidduutti godhame, kunis namoota bitamaniif eegumsa murtaaʼe kan mirkaneessu ture ', 'Sanada heera mootummaa jaarraa 19ffaa keessa mirga filannoo wabii ta’e ', 'Sanada Labsii Mirgoota Ingilaandii guutuu kaa’u ']",B,international_law,B) Waliigaltee bara 1215tti Mootichaa fi baronota isaa gidduutti godhame
Namoonni dhuunfaan(qaamaan) akka mootummaa fi dhaabbata idil addunyaatti haala wal fakkaataan nama seera qabeessa idil addunyaatti gammaduu? ,"['Namoonni dhuunfaa namummaa seera qabeessa idil-addunyaatti ni gammadu, kun garuu daangeffamaadha ', 'Namoonni dhuunfaa namummaa seera qabeessa idil-addunyaa hin daangeffamiinitti ni gammadu ', 'Namoonni dhuunfaa namummaa idil-addunyaa kamittiyyu hin gammadan ', 'Namoonni dhuunfaa himannaa mana murtii idil-addunyaa qofatti dhiyeessu danda’u']",A,international_law,A) Namoonni dhuunfaa namummaa seera qabeessa idil-addunyaatti ni gammadu
Malleen adda addaa waldhabdee karaa nagaa furuu danda’an keessaa sadarkaa ykn dursi kenname jiraa? ,"['Eeyyee, maloonni siyaasaa hundi (fkn. marii, gidduu seenummaa, gaaffii, araara) mala seeraatti fayyadamuu dura dhumuu qabu ', 'Malli seeraa mala siyaasaa irratti ol’aantummaa qaba, sababiin isaas isaan paartilee irratti dirqama waan ta’aniif ', 'Malleen kana keessaa sadarkaan kan hin jirre yoo ta’u filannoon kan Biyyoota falmitootaati ', 'Malli kamtu isa kaan caalaa dursa akka qabaatu murteessuun dhimma qaama sadaffaa loogii hin qabneedha ']",C,international_law,B) maloonni siyaasaa hundi (fkn. marii
Himoota armaan gadii keessaa kamtu soba? ,"[""Bara 1990moota keessa Manni Murtii Mirgoota Namoomaa Awurooppaa dhimmoota gahaa qorataa waan hin jirreef haaromfamuu akka qabu ifa ta'e "", 'Bara 1990moota keessa ba’aan hojii waan dabaleef Manni Murtii Mirgoota Namoomaa Awurooppaa haaromfamuu akka qabu ifa ta’e ', 'Bara 1990moota keessa Manni Murtii Mirgoota Namoomaa Awurooppaa mana murtii yeroo muraasaa komii baay’achaa dhufe kana ilaaluu waan hin dandeenyeef haaromfamuu akka qabu ifa ta’e ', 'Bara 1990moota keessa lakkoofsi biyyoota miseensa ta’anii erga dabalee booda lakkoofsi namoota dhuunfaa Mana Murticha argachuu danda’an guddachuu isaatiin Manni Murtii Mirgoota Namoomaa Awurooppaa haaromfamuu akka qabu ifa ta’e ']",D,international_law,D) Bara 1990moota keessa lakkoofsi biyyoota miseensa ta’anii erga dabalee booda lakkoofsi namoota dhuunfaa Mana Murticha argachuu danda’an guddachuu isaatiin Manni Murtii Mirgoota Namoomaa Awurooppaa haaromfamuu akka qabu ifa ta’e
Filannoowwan Mootummaa miidhamaa ta’een walqabatee hiikni walmadaalummaa maali? ,"['Mootummaan miidhame malaa fi cimina humnaa wal fakkaatu akka nama weerartuutti fayyadamuu ni danda’a ', 'Mootummaan miidhame mala kamiyyuu fayyadamuun nama weerartuu injifachuu fi dandeettii dhabsiisuu ni danda’a ', 'Mootummaan miidhame meeshaa fi humna akkasii akka barbaachisaa ta’etti fayyadamuu ni danda’a, nama weerartuu injifachuuf ', 'Mootummaan miidhame hayyama Mana Maree Nageenyaa malee homaa gochuu hin danda’u ']",C,international_law,"D) Mootummaan miidhame humna waraanaa, bulchiinsa seeraa, fi kanneen biroo akka fayyadamu gochuutu ni danda'a."
