question,answer,prompt,gpt_4
"charlie alingi ateka ba bougies ya cire ya nzoyi. livre nionso ya cire ya nzoyi ezo pesa ye nzela Yako sala 10 bougies. livre mono ya cire ya nzoyi PE singa ezo tekama 10,00$. silk a sali PE ateki 20 bougies, bénéfice ya ye ya mobimba eza boni? ko yeba été bougie Moko etekami 2,00$",20,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ncharlie alingi ateka ba bougies ya cire ya nzoyi. livre nionso ya cire ya nzoyi ezo pesa ye nzela Yako sala 10 bougies. livre mono ya cire ya nzoyi PE singa ezo tekama 10,00$. silk a sali PE ateki 20 bougies, bénéfice ya ye ya mobimba eza boni? ko yeba été bougie Moko etekami 2,00$\n'}]",40
"Mérédith azali blogueuse indépendant asalaka mosala ya kokoma ba article mpo na theme ya bokolongonu ya nzoto mpe kotindela ba clients mikolo nyoso. Article na blog esengaka ngonga 4 ya mosala ya katikati, etali koluka luka na kokoma. Poso eleki, akomi article 5 lundi mpe 2/5 mbala koleka ba article mokolo ya mardi. Mercredi akomi mbala mibale koleka ba article lokola akomaki mardi te. Sala calcul ya motango nyoso ya ngonga alekisi na kokoma ba article banda mikolo misato.",104,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMérédith azali blogueuse indépendant asalaka mosala ya kokoma ba article mpo na theme ya bokolongonu ya nzoto mpe kotindela ba clients mikolo nyoso. Article na blog esengaka ngonga 4 ya mosala ya katikati, etali koluka luka na kokoma. Poso eleki, akomi article 5 lundi mpe 2/5 mbala koleka ba article mokolo ya mardi. Mercredi akomi mbala mibale koleka ba article lokola akomaki mardi te. Sala calcul ya motango nyoso ya ngonga alekisi na kokoma ba article banda mikolo misato.\n'}]",52
"Liboso ya kokenda kosala na café, Candice atiyi 80 ya pense-bête na sac ya maboko. Na nzela, atelemi mpo ya kosomba paquet ya pense-bête na magasin. Kokoma na mosala, abaki pense-bête na 220 ya tasse ya cafe. Soki na nsima etikali 23 pense-bête, motuya boni ya pense-bête na paquet oyo asombaki ?",163,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLiboso ya kokenda kosala na café, Candice atiyi 80 ya pense-bête na sac ya maboko. Na nzela, atelemi mpo ya kosomba paquet ya pense-bête na magasin. Kokoma na mosala, abaki pense-bête na 220 ya tasse ya cafe. Soki na nsima etikali 23 pense-bête, motuya boni ya pense-bête na paquet oyo asombaki ?\n'}]",197
Jean akosomba mbala mibale ba cravate ya motane koleka ba cravate ya blue. Ba cravate ya motane ezali na ntalo ya 50% koleka. Abebisi 200 $ mpo na cravate ya blue ezali na ntalo ya 40 $ na moko. Boni abebisi na cravate ?,800,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean akosomba mbala mibale ba cravate ya motane koleka ba cravate ya blue. Ba cravate ya motane ezali na ntalo ya 50% koleka. Abebisi 200 $ mpo na cravate ya blue ezali na ntalo ya 40 $ na moko. Boni abebisi na cravate ?\n'}]",60
"Mpo na kolendisa milona ya tomate ya jardin na ye, Tracy asaleli nsinga ya ebende ya molai ya makolo 4. Nsinga oyo bakati yango na biteni ebele ya 6 pouce ya molai. Motuya boni ya biteni akozwa ?",8,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMpo na kolendisa milona ya tomate ya jardin na ye, Tracy asaleli nsinga ya ebende ya molai ya makolo 4. Nsinga oyo bakati yango na biteni ebele ya 6 pouce ya molai. Motuya boni ya biteni akozwa ?\n'}]",8
"Richard afandaka na moko ya appartement ya immeuble ya 15 etage. Etage moko na moko ezali na 8 appartement. Koyeba ete 3/4 ya immeuble eza na bato, motuya nyoso ya ba appartement oyo eza na bato te na immeuble ?",30,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRichard afandaka na moko ya appartement ya immeuble ya 15 etage. Etage moko na moko ezali na 8 appartement. Koyeba ete 3/4 ya immeuble eza na bato, motuya nyoso ya ba appartement oyo eza na bato te na immeuble ?\n'}]",30
Lloyd azali mokolo ya ndako ya nsoso. Ba nsoso na ye babotaka 252 maki na mokolo mpe atekaka yango na 2 $ mpo na zomi na mibale. Motuya boni Lloyd azwaka na poso na maki na ye ?,294,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLloyd azali mokolo ya ndako ya nsoso. Ba nsoso na ye babotaka 252 maki na mokolo mpe atekaka yango na 2 $ mpo na zomi na mibale. Motuya boni Lloyd azwaka na poso na maki na ye ?\n'}]",3024
"Masuwa ya Tom ezali kotambola na 10 miles na ngonga. Ekotambola kobanda 13 h kino 16 h, mpe ekozwa nzela ya kozonga na mbangu ya 6 miles na ngonga. Ngonga boni esengeli na ye mpo azonga ?",5,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMasuwa ya Tom ezali kotambola na 10 miles na ngonga. Ekotambola kobanda 13 h kino 16 h, mpe ekozwa nzela ya kozonga na mbangu ya 6 miles na ngonga. Ngonga boni esengeli na ye mpo azonga ?\n'}]",3
"Sac ya Uriah ekomi kilo makasi mpo na ye. Asengeli kokutola kilo na yango na 15 livres. Ba bande dessiné moko na moko eza na kilo ya 1/4 ya livre mpe ba jouet na ye moko na moko ezali 1/2 ya livre. Soki alongoli 30 bande dessiné, motuya boni esengeli na ye alongola ba jouet?",15,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSac ya Uriah ekomi kilo makasi mpo na ye. Asengeli kokutola kilo na yango na 15 livres. Ba bande dessiné moko na moko eza na kilo ya 1/4 ya livre mpe ba jouet na ye moko na moko ezali 1/2 ya livre. Soki alongoli 30 bande dessiné, motuya boni esengeli na ye alongola ba jouet?\n'}]",20
"mobongisi mituka Moko atia ba Talo ya ko kesena na kobongisa ba piné ya mituka ya minene ne ya mikié. PONA piné ya mituka minene Moko Talo eza 60$, PE 40$ ya mituka ya mikié. mokolo ya mineyi, abongisaki 6 piné ya mituka minene PE 4 piné ya mituka mikié. mokolo ya mitano , abongisaki 12 piné ya mituka mikié PE obongisaki ata Moko te ya mituka minene. mokomi Oyo akotisaki mbongo ebele koleka, mbongo boni mobongisi mituka a gagnaki ya likolo ?",40,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nmobongisi mituka Moko atia ba Talo ya ko kesena na kobongisa ba piné ya mituka ya minene ne ya mikié. PONA piné ya mituka minene Moko Talo eza 60$, PE 40$ ya mituka ya mikié. mokolo ya mineyi, abongisaki 6 piné ya mituka minene PE 4 piné ya mituka mikié. mokolo ya mitano , abongisaki 12 piné ya mituka mikié PE obongisaki ata Moko te ya mituka minene. mokomi Oyo akotisaki mbongo ebele koleka, mbongo boni mobongisi mituka a gagnaki ya likolo ?\n'}]",560
"ba ndeko basi Doubtfire ba logwe esika ya bo bombi ba niama ya mboka,na karo ya mituka na Bango ba niawu 7 Yako adopter. Na nzela ya kozonga, ba zui singa ya allo allo ya maman na bango koyebisa bango ete ba niawu mibale ya ndaku ba wuti ko bota. alobi ete patchy, niawu ya liboso, a boti bana mbala misato koleka Oyo ba adoptaki, Kasi Trixie, niawu mususu, aboti 12. ba niawu boni libota Doubtfire eza Na yango sikoyo?",40,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nba ndeko basi Doubtfire ba logwe esika ya bo bombi ba niama ya mboka,na karo ya mituka na Bango ba niawu 7 Yako adopter. Na nzela ya kozonga, ba zui singa ya allo allo ya maman na bango koyebisa bango ete ba niawu mibale ya ndaku ba wuti ko bota. alobi ete patchy, niawu ya liboso, a boti bana mbala misato koleka Oyo ba adoptaki, Kasi Trixie, niawu mususu, aboti 12. ba niawu boni libota Doubtfire eza Na yango sikoyo?\n'}]",19
Jean azali na sucette 30. Alei 2. Na ba sucette etikali alingi asala ba sac mpo na sucette 2. Motuya boni ya sac Jean akozwa?,14,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean azali na sucette 30. Alei 2. Na ba sucette etikali alingi asala ba sac mpo na sucette 2. Motuya boni ya sac Jean akozwa?\n'}]",15
"Pierre akanisi kokenda na cinema na poso oyo. Asombaka kaka billet moko ya 7$ mpe 7 $ ya pop-corn. Soki azali na 42$ mpo na poso, motuya boni akoki kokenda na cinema?",3,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nPierre akanisi kokenda na cinema na poso oyo. Asombaka kaka billet moko ya 7$ mpe 7 $ ya pop-corn. Soki azali na 42$ mpo na poso, motuya boni akoki kokenda na cinema?\n'}]",28
"Motuka ya kotika biloko elingi kokatisa gbagba (pont) ya mabaya ekoki te komema charge ya koleka 5 000 livres. Motuka etondi na ba boite ya ndenge moko, mpo na kilo ya 15 Livre na moko. kilo ya mokumbi na motuka ya polele ezali na 3 755 Livre. Motuya boni ya boite ekoki komata na motuka mpo na kolekisa ndelo te ya kilo ya gbagba ?",83,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMotuka ya kotika biloko elingi kokatisa gbagba (pont) ya mabaya ekoki te komema charge ya koleka 5 000 livres. Motuka etondi na ba boite ya ndenge moko, mpo na kilo ya 15 Livre na moko. kilo ya mokumbi na motuka ya polele ezali na 3 755 Livre. Motuya boni ya boite ekoki komata na motuka mpo na kolekisa ndelo te ya kilo ya gbagba ?\n'}]",220
"Stéphane a komandaki ba ingrédients Na internet. Talo ya suka ezalaki 40,00$. Loko ezalaki ya mopesi ya service Yako memela Na ndaku, ye abakisaki 25 ya Talo ya facture PE a buakisaki 3,00$ PONA Talo ya komemela na ndaku. Stéphane a pesaki PE mwana mbongo ya mayi ya 4,00$. na ko tanga Talo ya likolo, Talo ya suka ya commande ya Stéphane eza boni?",57,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nStéphane a komandaki ba ingrédients Na internet. Talo ya suka ezalaki 40,00$. Loko ezalaki ya mopesi ya service Yako memela Na ndaku, ye abakisaki 25 ya Talo ya facture PE a buakisaki 3,00$ PONA Talo ya komemela na ndaku. Stéphane a pesaki PE mwana mbongo ya mayi ya 4,00$. na ko tanga Talo ya likolo, Talo ya suka ya commande ya Stéphane eza boni?\n'}]",72
framboisier Moko ezali Na 6 grappes ya ba 20 mbuma nzetes na Moko no Moko. PE 67  mbuma Nzetes ya ko tikana PE kopanzana Na nzete. ba framboisier boni eza Na nionso,187,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nframboisier Moko ezali Na 6 grappes ya ba 20 mbuma nzetes na Moko no Moko. PE 67  mbuma Nzetes ya ko tikana PE kopanzana Na nzete. ba framboisier boni eza Na nionso\n'}]",120
"Kitunga moko ezali na malala 25 mpe 1 ezali ya kobeba, 20 % ezali ya kotela te, 2 ezali acide mpe oyo etikali ezali malamu. Motuya boni ya malala ya kitoko ?",17,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKitunga moko ezali na malala 25 mpe 1 ezali ya kobeba, 20 % ezali ya kotela te, 2 ezali acide mpe oyo etikali ezali malamu. Motuya boni ya malala ya kitoko ?\n'}]",17
"Janet asombi broche mpo na mwana na ye ya mwasi. Abebisi 500 $ mpo ya kozwa biloko ya fabrication, mpe 800 $ ya kobakisa mpo ya kosala epai ya bijoutier. Na nsima abebisi 10 % ya mbongo wana na kozwa assurance. Motuya boni ya mosolo abebisi na nyoso ?",1430,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJanet asombi broche mpo na mwana na ye ya mwasi. Abebisi 500 $ mpo ya kozwa biloko ya fabrication, mpe 800 $ ya kobakisa mpo ya kosala epai ya bijoutier. Na nsima abebisi 10 % ya mbongo wana na kozwa assurance. Motuya boni ya mosolo abebisi na nyoso ?\n'}]",1390
"Soki Marcy asalaka mosala mpo na kompani moko banda mbula 40, azwaka mosolo ya 50 000 $ na mbula. Kobanda na mbula 20 ya mosala, azali na makoki ya 5 % ya mbongo wana na mbula. Na kondima ete alongoi na mosala na nsima ya mbula 30 ya mosala, motuya boni ya mosolo na ye ya mbula ekozala ?",25000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSoki Marcy asalaka mosala mpo na kompani moko banda mbula 40, azwaka mosolo ya 50 000 $ na mbula. Kobanda na mbula 20 ya mosala, azali na makoki ya 5 % ya mbongo wana na mbula. Na kondima ete alongoi na mosala na nsima ya mbula 30 ya mosala, motuya boni ya mosolo na ye ya mbula ekozala ?\n'}]",57500
"Aleena aza abonné Na service Oyo ya streaming Oyo bazo futisa ye 140$ na sanza Moko. soki compani ya streaming Azo futisa ye Talo Wana na kati kati ya yambo ya mbula, PE batisi 10% PONA kati kati ya mbula Oyo etikali, beta machine ya Talo nionso Ako FUTA PONA service ya streaming na suka mbula?",1596,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nAleena aza abonné Na service Oyo ya streaming Oyo bazo futisa ye 140$ na sanza Moko. soki compani ya streaming Azo futisa ye Talo Wana na kati kati ya yambo ya mbula, PE batisi 10% PONA kati kati ya mbula Oyo etikali, beta machine ya Talo nionso Ako FUTA PONA service ya streaming na suka mbula?\n'}]",1680
Sophie Azo linga ya bembuka na mituka PE Azo mituna molayi ya nzela Nini Akoki ko kumba na botondisi essence Na mutuka Moko. asali 100km banda atondisaki essence PE a buakisaki 4 gallons ya essence PONA kotondisa lisusu recevoir. buku ya bosaleli ezo lakisa ete recevoir ezali Na makoki ya 12 gallons ya essence. ba km boni Sophie Akoki ko kumba na botondisi essence Moko ?,300,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSophie Azo linga ya bembuka na mituka PE Azo mituna molayi ya nzela Nini Akoki ko kumba na botondisi essence Na mutuka Moko. asali 100km banda atondisaki essence PE a buakisaki 4 gallons ya essence PONA kotondisa lisusu recevoir. buku ya bosaleli ezo lakisa ete recevoir ezali Na makoki ya 12 gallons ya essence. ba km boni Sophie Akoki ko kumba na botondisi essence Moko ?\n'}]",600
"Jim alekisi ngonga 2 na kotala television, na nsima azwi mokano ya kokenda kolala na kotanga mpo na ndambo ya ngonga ya kotanga. Alandisi yango mbala 3 na poso. Motuya boni ya ngonga alekisi na kotala television mpe kotanga na poso 4 ?",36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJim alekisi ngonga 2 na kotala television, na nsima azwi mokano ya kokenda kolala na kotanga mpo na ndambo ya ngonga ya kotanga. Alandisi yango mbala 3 na poso. Motuya boni ya ngonga alekisi na kotala television mpe kotanga na poso 4 ?\n'}]",34
"milulu ya basketball esangisi be eteyelo mineyi na completion. eteyelo Moko na Moko e tindaki ekipi ya basi PE mibali, Oyo ezaleli na ba beti basketball mitano. ba eteyelo etindaki PE ba coach PONA eteyelo Moko Moko. batonboni ba eteyelo etindi ?",48,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nmilulu ya basketball esangisi be eteyelo mineyi na completion. eteyelo Moko na Moko e tindaki ekipi ya basi PE mibali, Oyo ezaleli na ba beti basketball mitano. ba eteyelo etindaki PE ba coach PONA eteyelo Moko Moko. batonboni ba eteyelo etindi ?\n'}]",10
"Moluki biloko ya motuya atimoli sanduku etondi na mabanga ya ntalo. Yango ezalaki na 175 diamants, 35 rubis na nse ya motango ya diamant, mpe émeraudes mbala mibale ya koleka rubis. Motuya boni ya mabanga ya ntalo na sanduku ?",595,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMoluki biloko ya motuya atimoli sanduku etondi na mabanga ya ntalo. Yango ezalaki na 175 diamants, 35 rubis na nse ya motango ya diamant, mpe émeraudes mbala mibale ya koleka rubis. Motuya boni ya mabanga ya ntalo na sanduku ?\n'}]",385
"Bilenge mibali bazali mbala mibale ebele koleka bilenge basi na eteyelo ya Docteur Wertz. Soki ezali na bilenge basi 60 mpe bayekoli 5 na molakisi, motuya boni ya balakisi bazali ?",36,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBilenge mibali bazali mbala mibale ebele koleka bilenge basi na eteyelo ya Docteur Wertz. Soki ezali na bilenge basi 60 mpe bayekoli 5 na molakisi, motuya boni ya balakisi bazali ?\n'}]",10
"Bailey azalaki na ndambo ya mbongo na ebandela. Azwi na nsima allocation hebdomadaire ya 5 $ mpo na poso 8. Soki akomi na 100 dollars na nyoso na suka ya poso 8, motuya boni ya mbongo Bailey abandaki na yango ?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBailey azalaki na ndambo ya mbongo na ebandela. Azwi na nsima allocation hebdomadaire ya 5 $ mpo na poso 8. Soki akomi na 100 dollars na nyoso na suka ya poso 8, motuya boni ya mbongo Bailey abandaki na yango ?\n'}]",95
"Na poso, Judy apesaka mateya 5 ya mabina mikolo nyoso mpe mateya 8 samedi. Soki liteya moko ezali na bayekoli 15 mpe akofutisa 15,00 $ na moyekoli, motuya ya mbongo boni akozwa na poso ?",7425,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNa poso, Judy apesaka mateya 5 ya mabina mikolo nyoso mpe mateya 8 samedi. Soki liteya moko ezali na bayekoli 15 mpe akofutisa 15,00 $ na moyekoli, motuya ya mbongo boni akozwa na poso ?\n'}]",570
"Kélian alambaka bilei na ba recettes mibale, moko na malako 20 mpe mosusu na mbala mibale ya malako koleka ya liboso. Motuya boni ya malako Kélian asengeli kotanga mpo ya kolamba bilei mibale ?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKélian alambaka bilei na ba recettes mibale, moko na malako 20 mpe mosusu na mbala mibale ya malako koleka ya liboso. Motuya boni ya malako Kélian asengeli kotanga mpo ya kolamba bilei mibale ?\n'}]",60
"tommy azo kongola  mbongo PONA association ya charitas na Zela Yako Teka ba Brownies Na 3$ Na eteni PE Gato ya fromage na 4$ Na eteni. Soko tommy ateki 43 brownies me 23 biteni ya gotta ya fromage, mbongo boni tommy akongoli?",221,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ntommy azo kongola  mbongo PONA association ya charitas na Zela Yako Teka ba Brownies Na 3$ Na eteni PE Gato ya fromage na 4$ Na eteni. Soko tommy ateki 43 brownies me 23 biteni ya gotta ya fromage, mbongo boni tommy akongoli?\n'}]",199
"Shiela asombi ba tshombo ya ko mema mitano a na Talo ya 150$ na Moko, Yako FUTA Na ba sanza 3. intérêt ya 2% eko futama PONA Moko. Talo boni esengali Na Sheila ko FUTA Na sanza Moko PONA 3 sanza?",255,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nShiela asombi ba tshombo ya ko mema mitano a na Talo ya 150$ na Moko, Yako FUTA Na ba sanza 3. intérêt ya 2% eko futama PONA Moko. Talo boni esengali Na Sheila ko FUTA Na sanza Moko PONA 3 sanza?\n'}]",154
"Artie azo teka ba fololo Na wenze ya fermier. azoteka ya go ya lolenge misato : ba soucis, ba petunias PE ba begonias. atekaka mingo mingo ba soucis Na 2.74$ pot moko, ba petunias Na 1,87 pot Moko PE ba begonias 2,12 $ pot Moko. lokola aeali Na mosolo te Lelo. arte azui mokona ya ko komisa yango na motango ya dollars ya mobimba Oyo ya pêne.soki ateki 12 potya soucis, 9 pot ya petunias PE 17 pots ya begonias, mbongo boni ako zua?",88,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nArtie azo teka ba fololo Na wenze ya fermier. azoteka ya go ya lolenge misato : ba soucis, ba petunias PE ba begonias. atekaka mingo mingo ba soucis Na 2.74$ pot moko, ba petunias Na 1,87 pot Moko PE ba begonias 2,12 $ pot Moko. lokola aeali Na mosolo te Lelo. arte azui mokona ya ko komisa yango na motango ya dollars ya mobimba Oyo ya pêne.soki ateki 12 potya soucis, 9 pot ya petunias PE 17 pots ya begonias, mbongo boni ako zua?\n'}]",85
"Luc azo leki tango Na ye na ko Tonga ba ndaku ya ba konzi ya mabele Na plage. a moni ete etage nionso ya ndaku ya ba konzi ya mabele eza na kati kati ya etando ya étage ya se. etando moyenne ya étage eaa Nini, koyeba été ndaku ya bakonzi ya mabele eza na yango 4 PE étage yo likolo makasi eza Na etando ya 16 pieds carré ?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nLuc azo leki tango Na ye na ko Tonga ba ndaku ya ba konzi ya mabele Na plage. a moni ete etage nionso ya ndaku ya ba konzi ya mabele eza na kati kati ya etando ya étage ya se. etando moyenne ya étage eaa Nini, koyeba été ndaku ya bakonzi ya mabele eza na yango 4 PE étage yo likolo makasi eza Na etando ya 16 pieds carré ?\n'}]",64
"Cécilia awuti kosomba mbwa ya mukié ya sika. na ndenge ya monganga ya ba niama, esengeli a pesa sani 1 ya bileyi PONA koliesa mbwa mikolo nionso PONA 180 mikolo ya yambo. na sima esengeli a pesa ba bols 2 mikolo nionso ti Na suka ya bomoi. Soko sac moko ya bileyi eaa 110bols,  ba sac ya boni ya bileyi ya mbwa Cecilia akosalela Na mbula ya liboso?",5,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCécilia awuti kosomba mbwa ya mukié ya sika. na ndenge ya monganga ya ba niama, esengeli a pesa sani 1 ya bileyi PONA koliesa mbwa mikolo nionso PONA 180 mikolo ya yambo. na sima esengeli a pesa ba bols 2 mikolo nionso ti Na suka ya bomoi. Soko sac moko ya bileyi eaa 110bols,  ba sac ya boni ya bileyi ya mbwa Cecilia akosalela Na mbula ya liboso?\n'}]",5
"Raymond asali mbala mibale moke musala yako sokola bilamba ke Sara. PE Sara asali mbala 4 komeka musala ya kosokola bilamba ke David. koyeba été Sara asali 400 livres ya bilamba ya kosokola, beta machini ya difference kati ya quantité ya bilamba ya Raymond PE Oyo ya David",100,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRaymond asali mbala mibale moke musala yako sokola bilamba ke Sara. PE Sara asali mbala 4 komeka musala ya kosokola bilamba ke David. koyeba été Sara asali 400 livres ya bilamba ya kosokola, beta machini ya difference kati ya quantité ya bilamba ya Raymond PE Oyo ya David\n'}]",200
"Vicent asengeli kopona kati ya fulele na paquet ya 3 mpo na 2,50 $ to na paquet ya 2 mpo na 1 $. Motuya ya mbongo boni akobomba soki asombi fulele 18 na ntalo malamu ? ",6,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nVicent asengeli kopona kati ya fulele na paquet ya 3 mpo na 2,50 $ to na paquet ya 2 mpo na 1 $. Motuya ya mbongo boni akobomba soki asombi fulele 18 na ntalo malamu ? \n'}]",13
jean a adopté mbwa Moko PE amemi yango epayi ya mosokoli PONA Talo ya 100$. mosokoli akitiseli ye 30% ndenge azalaki client ya sika. Talo ya kosokola eza boni?,70,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \njean a adopté mbwa Moko PE amemi yango epayi ya mosokoli PONA Talo ya 100$. mosokoli akitiseli ye 30% ndenge azalaki client ya sika. Talo ya kosokola eza boni?\n'}]",70
Bilenge mibale ya basi bazwi mpo na motu moko 1/6 ya 24 litre ya mai. Elenge moko ya mobali azwi na nsima 6 litres ya mai. Motuya boni ya litres ya mai etikali ?,10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBilenge mibale ya basi bazwi mpo na motu moko 1/6 ya 24 litre ya mai. Elenge moko ya mobali azwi na nsima 6 litres ya mai. Motuya boni ya litres ya mai etikali ?\n'}]",18
Charlie azalaki na 10 autocollants. Asombi 21 mosusu na magasin na centre commercial mpe azwi 23 mpo na mbotama na ye. Na nsima apesi 9 na ndeko na ye ya mwasi mpe basaleli 28 mpo na kokembisa carte ya voeux. Motuya boni ya autocollants atikali na yango ?,17,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCharlie azalaki na 10 autocollants. Asombi 21 mosusu na magasin na centre commercial mpe azwi 23 mpo na mbotama na ye. Na nsima apesi 9 na ndeko na ye ya mwasi mpe basaleli 28 mpo na kokembisa carte ya voeux. Motuya boni ya autocollants atikali na yango ?\n'}]",17
"Grace azali na kilo ya 125 livres. Alex azali na kilo 2 na nse mpo na mbala 4 kilo ya Grace. Ezali boni, na livres, motuya ya kilo na bango mibale ?",623,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGrace azali na kilo ya 125 livres. Alex azali na kilo 2 na nse mpo na mbala 4 kilo ya Grace. Ezali boni, na livres, motuya ya kilo na bango mibale ?\n'}]",1010
Dan aloni rosier 3. Rosier moko ezali na 25 rose mpe rose moko ezali na nzube 8. Motuya boni ya nzube ezali na nyoso ?,600,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nDan aloni rosier 3. Rosier moko ezali na 25 rose mpe rose moko ezali na nzube 8. Motuya boni ya nzube ezali na nyoso ?\n'}]",200
Ekipi moko ya motope ebeti 22 match. Alongi _ mbala koleka na oyo alongi te. Mbala boni alongi ?,15,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nEkipi moko ya motope ebeti 22 match. Alongi _ mbala koleka na oyo alongi te. Mbala boni alongi ?\n'}]",11
"gene Azo Tonga elamba a partir ya polo ya kala ya souvenirs. aza Na polo ya voyage ya vacance ya Moko Moko asalaki. polo eza Naba carré carré. mulongo Moko Moko ya carré ezali mbula Moko ya mobembo. Banda 23 mbula, Azo kende mobembo ya vacance mbala mineyi. Lelo aza Na ba mbula 34. ba carré ya elamba ezali boni na nionso?",44,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ngene Azo Tonga elamba a partir ya polo ya kala ya souvenirs. aza Na polo ya voyage ya vacance ya Moko Moko asalaki. polo eza Naba carré carré. mulongo Moko Moko ya carré ezali mbula Moko ya mobembo. Banda 23 mbula, Azo kende mobembo ya vacance mbala mineyi. Lelo aza Na ba mbula 34. ba carré ya elamba ezali boni na nionso?\n'}]",92
"Greg azali Na alarme ya ko réglé PONA ebeta ngonga mbala misato Na mokolo. Tangu alarme e Lelo, elelaka ti Greg asimba yango. mbala liboso Oyo elelaki Lelo, elelaki mbala mineyi. mbala mibale, elelaki mbala misato tango ebele komeka mbala liboso. mbala misato, Oyo elelaki mbala mibale mokié ke mbala mibala. ba mbala Boni ba alarme elelaki Na nionso?",22,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGreg azali Na alarme ya ko réglé PONA ebeta ngonga mbala misato Na mokolo. Tangu alarme e Lelo, elelaka ti Greg asimba yango. mbala liboso Oyo elelaki Lelo, elelaki mbala mineyi. mbala mibale, elelaki mbala misato tango ebele komeka mbala liboso. mbala misato, Oyo elelaki mbala mibale mokié ke mbala mibala. ba mbala Boni ba alarme elelaki Na nionso?\n'}]",10
"Kompani moko apesaka 600 $ na sanza na mosali nyoso. Asalaka politiki ya kobakisa 10% na lifuta ya ebandela na basali nyoso oyo bazali na mbula mitano ya kowumela. Soki Sylvie awuti kolekisa mbula 5 na kompani na décembre eleki, lifuta na ye ya mbula ekozala boni na nsima ya mbula misato ya kobakisa na mosala ?",9360,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKompani moko apesaka 600 $ na sanza na mosali nyoso. Asalaka politiki ya kobakisa 10% na lifuta ya ebandela na basali nyoso oyo bazali na mbula mitano ya kowumela. Soki Sylvie awuti kolekisa mbula 5 na kompani na décembre eleki, lifuta na ye ya mbula ekozala boni na nsima ya mbula misato ya kobakisa na mosala ?\n'}]",7800
"disque ya liboso ya Marilyn etekamaki mbala 10 koleka ba exemplaires ke Oyo ya harald.soki batekki 88000 exemplaires Na Bango mibale, ba exemplaires Harald boni a tekaki?",8000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ndisque ya liboso ya Marilyn etekamaki mbala 10 koleka ba exemplaires ke Oyo ya harald.soki batekki 88000 exemplaires Na Bango mibale, ba exemplaires Harald boni a tekaki?\n'}]",80000
